config,workload,concurrency,repeat,n,p50_ms,p95_ms,p99_ms,avg_ms,req_per_sec,ok,err,cpu_pct,url
cg_adaptive_sqli,token,50,4,10000,4.4,6.1000000000000005,478.4,18.700000000000003,1742.8426,10000,0,124.7,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_sqli,token,50,5,10000,4.3,6.3,8.0,17.6,1729.8073,10000,0,127.3,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_static_sqli,plain,1,1,10000,1.0,1.1,1.3,1.0,1006.7319,10000,0,69.0,http://localhost/customapp/product?id=1
cg_static_sqli,plain,1,2,10000,1.0,1.1,1.3,1.0,1001.2094,10000,0,68.6,http://localhost/customapp/product?id=1
cg_static_sqli,plain,1,3,10000,1.0,1.1,1.3,1.0,1002.2478,10000,0,69.0,http://localhost/customapp/product?id=1
cg_static_sqli,plain,1,4,10000,1.0,1.1,1.3,1.0,1007.5515,10000,0,69.1,http://localhost/customapp/product?id=1
cg_static_sqli,plain,1,5,10000,1.0,1.1,1.3,1.0,997.5579,10000,0,68.6,http://localhost/customapp/product?id=1
cg_static_sqli,plain,10,1,10000,4.3,5.8999999999999995,6.7,4.8999999999999995,1855.0587,10000,0,125.8,http://localhost/customapp/product?id=1
cg_static_sqli,plain,10,2,10000,4.0,5.5,6.3,4.8999999999999995,1840.2573,10000,0,124.8,http://localhost/customapp/product?id=1
cg_static_sqli,plain,10,3,10000,4.0,5.5,6.3,4.6,1937.7354,10000,0,131.3,http://localhost/customapp/product?id=1
cg_static_sqli,plain,10,4,10000,4.1000000000000005,5.6,6.4,4.7,1867.219,10000,0,127.5,http://localhost/customapp/product?id=1
cg_static_sqli,plain,10,5,10000,3.7,5.5,6.5,4.7,1829.0887,10000,0,125.3,http://localhost/customapp/product?id=1
cg_static_sqli,plain,50,1,10000,4.3,6.8,1021.7,22.2,1509.9377,10000,0,108.7,http://localhost/customapp/product?id=1
cg_static_sqli,plain,50,2,10000,4.5,6.3,485.20000000000005,18.8,1679.8879,10000,0,117.2,http://localhost/customapp/product?id=1
cg_static_sqli,plain,50,3,10000,4.2,6.8999999999999995,1010.1,20.1,1688.5065,10000,0,123.2,http://localhost/customapp/product?id=1
cg_static_sqli,plain,50,4,10000,3.7,6.2,240.2,18.2,1487.2723,10000,0,106.2,http://localhost/customapp/product?id=1
