family,target,page,backend,attack_source_model,shift_type,eps,technique,n_attack_seeds,mean_of_means,sd,median,min,max,pooled_block_rate,blocked_sum,total_sum
SQLi,juice,login,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.3,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,21100,21100
SQLi,juice,login,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.3,CG-Static,5,98.49,0.46,98.49,97.81,99.07,98.49,20781,21100
SQLi,juice,login,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.4,CG-Adaptive,5,90.95,2.13,91.36,88.58,93.11,90.95,19191,21100
SQLi,juice,login,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.4,CG-Static,5,96.97,0.93,96.98,95.61,98.13,96.98,20462,21100
SQLi,juice,login,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.5,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,21100,21100
SQLi,juice,login,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.5,CG-Static,5,98.49,0.46,98.49,97.81,99.07,98.49,20781,21100
SQLi,juice,search,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,23330,23330
SQLi,juice,search,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Static,5,90.0,0.0,90.0,90.0,90.0,90.0,20997,23330
SQLi,juice,search,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.2,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,23330,23330
SQLi,juice,search,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.2,CG-Static,5,100.0,0.0,100.0,100.0,100.0,100.0,23330,23330
SQLi,juice,search,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.3,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,23330,23330
SQLi,juice,search,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.3,CG-Static,5,90.0,0.0,90.0,90.0,90.0,90.0,20997,23330
SQLi,juice,search,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.4,CG-Adaptive,5,80.0,0.0,80.0,80.0,80.0,80.0,18664,23330
SQLi,juice,search,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.4,CG-Static,5,80.0,0.0,80.0,80.0,80.0,80.0,18664,23330
SQLi,juice,search,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.5,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,23330,23330
SQLi,juice,search,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.5,CG-Static,5,80.0,0.0,80.0,80.0,80.0,80.0,18664,23330
XSS,bwapp,xss_eval,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,5,97.26,5.05,100.0,88.38,100.0,97.56,12781,13100
XSS,bwapp,xss_eval,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Static,5,98.09,3.96,100.0,91.01,100.0,98.32,12880,13100
XSS,bwapp,xss_eval,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.2,CG-Adaptive,5,97.14,4.68,99.85,89.17,100.0,97.42,12762,13100
XSS,bwapp,xss_eval,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.2,CG-Static,5,98.45,3.16,99.93,92.81,100.0,98.64,12922,13100
